gene_id,gene_mapping_id,gene_product,go_terms
60,42,P60709,GO:0001738!GO:0005200!GO:0005515!GO:0005634!GO:0005654!GO:0005737!GO:0005829!GO:0005856!GO:0005886!GO:0005911!GO:0005912!GO:0007163!GO:0015629!GO:0016579!GO:0019894!GO:0019901!GO:0022898!GO:0030027!GO:0030957!GO:0032991!GO:0034329!GO:0034333!GO:0035267!GO:0036464!GO:0038096!GO:0042802!GO:0043296!GO:0045176!GO:0045815!GO:0048013!GO:0048870!GO:0050998!GO:0051621!GO:0051623!GO:0061024!GO:0070160!GO:0071896!GO:0072749!GO:0098793!GO:0098871!GO:0098973!GO:0098974!GO:0098978!GO:0150111!GO:1903076!GO:1990904
70,43,P68032,GO:0005524!GO:0005737!GO:0005829!GO:0005884!GO:0016887!GO:0017022!GO:0030017!GO:0030048!GO:0030049!GO:0033275!GO:0060047
71,44,P63261,GO:0001525!GO:0001738!GO:0005200!GO:0005515!GO:0005522!GO:0005829!GO:0005856!GO:0005884!GO:0005886!GO:0005911!GO:0010628!GO:0030335!GO:0031625!GO:0034329!GO:0038096!GO:0042802!GO:0043296!GO:0048013!GO:0051492!GO:0051893!GO:0061024!GO:0070062!GO:0090303!GO:0120192!GO:0150111!GO:1902396
72,45,P63267,GO:0005829!GO:0006936
81,46,O43707,GO:0000977!GO:0001882!GO:0002576!GO:0003713!GO:0003779!GO:0005178!GO:0005515!GO:0005576!GO:0005634!GO:0005737!GO:0005829!GO:0015629!GO:0016604!GO:0030050!GO:0030335!GO:0030374!GO:0031093!GO:0031143!GO:0031490!GO:0032991!GO:0033209!GO:0035257!GO:0035357!GO:0042803!GO:0042974!GO:0044325!GO:0048384!GO:0048471!GO:0051015!GO:0051272!GO:1900025!GO:1901224!GO:1903506!GO:1990904
86,47,O96019,GO:0003407!GO:0003682!GO:0005515!GO:0005634!GO:0005654!GO:0005886!GO:0006338!GO:0007165!GO:0016514!GO:0016579!GO:0031011!GO:0035267!GO:0043967!GO:0043968!GO:0071564
87,48,P12814,GO:0001725!GO:0001726!GO:0002576!GO:0003725!GO:0005178!GO:0005515!GO:0005576!GO:0005737!GO:0005829!GO:0005884!GO:0005911!GO:0005925!GO:0007015!GO:0017166!GO:0030018!GO:0030168!GO:0030220!GO:0030374!GO:0031093!GO:0031143!GO:0036344!GO:0042803!GO:0042995!GO:0044325!GO:0048041!GO:0051015!GO:0051271!GO:0051639!GO:0070527!GO:0098978!GO:0099186
88,49,P35609,GO:0000165!GO:0002576!GO:0005178!GO:0005515!GO:0005546!GO:0005576!GO:0005829!GO:0005884!GO:0005886!GO:0005925!GO:0007155!GO:0008092!GO:0008307!GO:0019904!GO:0030018!GO:0030035!GO:0030049!GO:0030175!GO:0031093!GO:0031143!GO:0031432!GO:0042391!GO:0042802!GO:0043197!GO:0043267!GO:0043268!GO:0044325!GO:0045214!GO:0048041!GO:0051373!GO:0051695!GO:0070080!GO:0072659!GO:0086097!GO:1901017!GO:1901018!GO:2000009!GO:2000310!GO:2001137!GO:2001259
89,50,Q08043,GO:0005178!GO:0005515!GO:0005829!GO:0005884!GO:0005925!GO:0008307!GO:0030049!GO:0031143!GO:0042802!GO:0044325!GO:0048041
90,51,Q04771,GO:0000082!GO:0003143!GO:0003183!GO:0003289!GO:0004672!GO:0004674!GO:0005515!GO:0005524!GO:0005887!GO:0006468!GO:0007179!GO:0009968!GO:0010862!GO:0016361!GO:0018107!GO:0030278!GO:0030335!GO:0030501!GO:0030509!GO:0032924!GO:0032926!GO:0042803!GO:0045296!GO:0045669!GO:0045893!GO:0045944!GO:0046332!GO:0048179!GO:0048185!GO:0050431!GO:0050731!GO:0060389!GO:0060923!GO:0061445!GO:0071773!GO:1990782!GO:2000017!GO:2001237
91,52,P36896,GO:0000082!GO:0004674!GO:0005515!GO:0005524!GO:0005829!GO:0005886!GO:0005887!GO:0006355!GO:0006468!GO:0007165!GO:0007178!GO:0009986!GO:0016361!GO:0017002!GO:0018107!GO:0019838!GO:0030308!GO:0032924!GO:0032927!GO:0034711!GO:0038092!GO:0043235!GO:0045648!GO:0046332!GO:0046777!GO:0048179!GO:0048185!GO:0097191!GO:1901165
92,53,P27037,GO:0001934!GO:0004674!GO:0004675!GO:0005515!GO:0005737!GO:0005886!GO:0005887!GO:0007178!GO:0010862!GO:0015026!GO:0017002!GO:0030501!GO:0030509!GO:0032924!GO:0032927!GO:0034673!GO:0043235!GO:0045648!GO:0045669!GO:0045944!GO:0048185!GO:0071773
93,54,Q13705,GO:0000122!GO:0004674!GO:0005515!GO:0005737!GO:0005886!GO:0005887!GO:0006355!GO:0007165!GO:0007178!GO:0009952!GO:0016362!GO:0019838!GO:0030501!GO:0030509!GO:0032924!GO:0032927!GO:0032991!GO:0043235!GO:0045669
94,55,P37023,GO:0001525!GO:0001936!GO:0001955!GO:0002043!GO:0004674!GO:0005024!GO:0005025!GO:0005515!GO:0005524!GO:0005886!GO:0005887!GO:0006275!GO:0006355!GO:0006468!GO:0007162!GO:0007165!GO:0007179!GO:0008015!GO:0008217!GO:0008285!GO:0009986!GO:0010596!GO:0010862!GO:0016361!GO:0019901!GO:0030308!GO:0030336!GO:0030509!GO:0030513!GO:0032332!GO:0035313!GO:0043535!GO:0043537!GO:0045893!GO:0045944!GO:0046332!GO:0048185!GO:0050431!GO:0051895!GO:0060836!GO:0061154!GO:0071560!GO:0071773!GO:0098821!GO:2000279
95,56,Q03154,GO:0004046!GO:0005515!GO:0005829!GO:0006805!GO:0042802!GO:0070062
97,57,P07311,GO:0003998!GO:0006796
98,58,P14621,GO:0003998!GO:0005515!GO:0006796!GO:0042802
100,59,P00813,GO:0001666!GO:0004000!GO:0005515!GO:0005764!GO:0005829!GO:0005886!GO:0006154!GO:0008270!GO:0009897!GO:0009986!GO:0016020!GO:0032261!GO:0033632!GO:0042110!GO:0043101!GO:0046103!GO:0060169
